conclusion_date1,conclusion_date2,incident_info,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info
06/2022,23/11/2022,"22/09/2017
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Συντριβή υπερελαφρού αεροπλάνου στην περιοχή Κερασιά Ροδόπης ύστερα από πιθανή διάλυση του αεροσκάφους εν πτήση""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=1&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΠΕΡΙΟΧΗ ΚΕΡΑΣΙΑ ΡΟΔΟΠΗΣ,Νηολόγιο(α): UR-STAS,Αεροπλάνο,Υπερελαφρύ,ΠΕΡΙΟΧΗ ΚΕΡΑΣΙΑ ΡΟΔΟΠΗΣΝηολόγιο(α): UR-STASΑεροπλάνοΥπερελαφρύ
05/2022,10/11/2022,"08/11/2013
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο κατά τη διάρκεια της προσγείωσης, αναπήδησε μετά από  βαριά προσγείωση, εξετράπη προς τα αριστερά και συνετρίβη σε κατασκευή ISOBOX (αεροδρόμιο LGMG)""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΑΕΡΟΔΡΟΜΙΟ ΜΕΓΑΡΩΝ LGMG,Νηολόγιο(α): SX-AGE,Αεροπλάνο,Μικρό / Ελαφρύ,ΑΕΡΟΔΡΟΜΙΟ ΜΕΓΑΡΩΝ LGMGΝηολόγιο(α): SX-AGEΑεροπλάνοΜικρό / Ελαφρύ
E01/2022,27/10/2022,"28/05/2019
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς μετά από σύντομη πτήση και κατά την μετάβασή του για προσγείωση σε προκαθορισμένο χώρο, έχασε τον έλεγχο του Αλεξιπτώτου Πλαγιάς σε περιοχή της Ανατολικής παραλίας Καλαμάτας και κατέπεσε στην θάλασσα""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΣΤΗ ΠΕΡΙΟΧΗ ΤΗΣ ΑΝΑΤΟΛΙΚΗΣ ΠΑΡΑΛΙΑΣ ΚΑΛΑΜΑΤΑΣ,Νηολόγιο(α): -,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΣΤΗ ΠΕΡΙΟΧΗ ΤΗΣ ΑΝΑΤΟΛΙΚΗΣ ΠΑΡΑΛΙΑΣ ΚΑΛΑΜΑΤΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
04/2022,09/06/2022,"20/08/2019
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελικόπτερο συνετρίβη στη θαλάσσια περιοχή μεταξύ Νήσου Πόρου - Γαλατά μετά από σύγκρουση με ηλεκτροφόρα καλώδια κατά την αναχώρηση από το Πεδίο Προσγείωσης στην περιοχή του Γαλατά""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=2&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=2&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μεγάλο,ΘΑΛΛΑΣΙΟΣ ΔΙΑΥΛΟΣ ΠΟΡΟΥ-ΓΑΛΑΤΑΝηολόγιο(α): SX-HTOΕλικόπτεροΜεγάλο
03/2022,02/06/2022,"16/07/2020
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Xειριστής αλεξιπτώτου πλαγιάς που απογειώθηκε από το όρος Κιθαιρώνας πλησίον των Πλαταιών, βρέθηκε νεκρός μετά από πτώση του αλεξιπτώτου του.""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΚΑΛΥΜΠΑΚΙ ΑΓΙΟΥ ΘΩΜΑ ΒΟΙΩΤΙΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
02/2022,19/05/2022,"15/09/2019
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής Αλεξιπτώτου Πλαγιάς, ο οποίος ήταν μέλος ομάδας αεραθλητών που πραγματοποίησαν πτήση στην ευρύτερη περιοχή Αλυκών Μεσολογγίου, τραυματίσθηκε θανάσιμα μετά από πτώση του.""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΑΛΥΚΕΣ ΜΕΣΟΛΟΓΓΙΟΥΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
01/2022,17/02/2022,"07/10/2017
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Tραυματισμός ενός μέλους του πληρώματος εδάφους από την έλικα του νούμερου δύο κινητήρα επιβατικύ αεροπλάνου αερογραμμών""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=4                                        Επιβάτες=19&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=1"">
</span>",,,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΑΘΗΝΩΝ (LGAV) ΘΕΣΗ Β62Νηολόγιο(α): SX-GRIΑεροπλάνοΜεγάλο
E05/2021,24/09/2021,"13/12/2019
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Εκτροπή αεροπλάνου κατά την τροχοδρόμηση σε τροχόδρομο ταχείας απελευθέρωσης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,"ΔΙΕΘΝΕΣ ΑΕΡΟΔΡΟΜΙΟ ΑΘΗΝΩΝ (ΛΓΑΩ) ΔΙΑΔΡΟΜΟΣ 21R, ΤΡΟΧΟΔΡΟΜΟΣ Α6Νηολόγιο(α): SX-BKZΑεροπλάνοΜεγάλο"
E04/2021,26/07/2021,"14/02/2020
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Κατά την διάρκεια εκπαιδευτικής πτήσης ΜΟΝΟΣ (SOLO) και κατά την διάρκεια της προσγείωσης στον διάδρομο 32 του Κρατικού Αερολιμένα Κοζάνης, ο μαθητευόμενος χειριστής έχασε τον έλεγχο του αεροσκάφους με αποτέλεσμα να εξέλθει δεξιά εκτός διαδρόμου.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΚΟΖΑΝΗΣ LGKZ,Νηολόγιο(α): SX-KVA,Αεροπλάνο,Πολύ Ελαφρύ,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΚΟΖΑΝΗΣ LGKZΝηολόγιο(α): SX-KVAΑεροπλάνοΠολύ Ελαφρύ
E03/2021,11/02/2021,"28/01/2019
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ιδιαίτερα χαμηλή πτήση (256 πόδια από το έδαφος) επιβατικού αεροπλάνου αερογραμμών πριν το κατώφλι διαδρόμμου προσγείωσης στο αεροδρόμιο MUSCAT του ΟΜΑΝ""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=6                                        Επιβάτες=70&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ MUSCAT (OOMS) ΣΤΟ ΟΜΑΝ,Νηολόγιο(α): SX-ODS,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ MUSCAT (OOMS) ΣΤΟ ΟΜΑΝΝηολόγιο(α): SX-ODSΑεροπλάνοΜεγάλο
