conclusion_number,conclusion_date,incident_date,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info,crew,deaths_crew_members,seriously_injured_crew_members,passengers,deaths_passengers,seriously_injured_passengers,other_deaths,other_injuries,aircraft_type2,Year,percentage_deaths_to_all_incidents
06/2022,2022-11-23,2017-09-22,ΑΤΥΧΗΜΑ,Συντριβή υπερελαφρού αεροπλάνου στην περιοχή Κερασιά Ροδόπης ύστερα από πιθανή διάλυση του αεροσκάφους εν πτήση,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=1    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=1Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Περιοχη Κερασια Ροδοπης,UR-STAS,Αεροπλάνο,Υπερελαφρύ,ΠΕΡΙΟΧΗ ΚΕΡΑΣΙΑ ΡΟΔΟΠΗΣΝηολόγιο(α): UR-STASΑεροπλάνοΥπερελαφρύ,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Αεροπλάνο,2017,25.0
05/2022,2022-10-11,2013-08-11,ΑΤΥΧΗΜΑ,"Ελαφρύ αεροπλάνο κατά τη διάρκεια της προσγείωσης, αναπήδησε μετά από  βαριά προσγείωση, εξετράπη προς τα αριστερά και συνετρίβη σε κατασκευή ISOBOX (αεροδρόμιο LGMG)",Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Αεροδρομιο Μεγαρων Lgmg,SX-AGE,Αεροπλάνο,Μικρό / Ελαφρύ,ΑΕΡΟΔΡΟΜΙΟ ΜΕΓΑΡΩΝ LGMGΝηολόγιο(α): SX-AGEΑεροπλάνοΜικρό / Ελαφρύ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2013,22.2
E01/2022,2022-10-27,2019-05-28,ΑΤΥΧΗΜΑ,"Χειριστής αλεξιπτώτου πλαγιάς μετά από σύντομη πτήση και κατά την μετάβασή του για προσγείωση σε προκαθορισμένο χώρο, έχασε τον έλεγχο του Αλεξιπτώτου Πλαγιάς σε περιοχή της Ανατολικής παραλίας Καλαμάτας και κατέπεσε στην θάλασσα",Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Στη Περιοχη Της Ανατολικης Παραλιας Καλαματας,-,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,ΣΤΗ ΠΕΡΙΟΧΗ ΤΗΣ ΑΝΑΤΟΛΙΚΗΣ ΠΑΡΑΛΙΑΣ ΚΑΛΑΜΑΤΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2019,16.7
04/2022,2022-09-06,2019-08-20,ΑΤΥΧΗΜΑ,Ελικόπτερο συνετρίβη στη θαλάσσια περιοχή μεταξύ Νήσου Πόρου - Γαλατά μετά από σύγκρουση με ηλεκτροφόρα καλώδια κατά την αναχώρηση από το Πεδίο Προσγείωσης στην περιοχή του Γαλατά,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=2    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=2Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Θαλλασιος Διαυλος Πορου-Γαλατα,,Ελικόπτερο,Μεγάλο,ΘΑΛΛΑΣΙΟΣ ΔΙΑΥΛΟΣ ΠΟΡΟΥ-ΓΑΛΑΤΑΝηολόγιο(α): SX-HTOΕλικόπτεροΜεγάλο,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,Ελικόπτερο,2019,21.4
03/2022,2022-02-06,2020-07-16,ΑΤΥΧΗΜΑ,"Xειριστής αλεξιπτώτου πλαγιάς που απογειώθηκε από το όρος Κιθαιρώνας πλησίον των Πλαταιών, βρέθηκε νεκρός μετά από πτώση του αλεξιπτώτου του.",Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Καλυμπακι Αγιου Θωμα Βοιωτιας,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,ΚΑΛΥΜΠΑΚΙ ΑΓΙΟΥ ΘΩΜΑ ΒΟΙΩΤΙΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2020,11.1
02/2022,2022-05-19,2019-09-15,ΑΤΥΧΗΜΑ,"Χειριστής Αλεξιπτώτου Πλαγιάς, ο οποίος ήταν μέλος ομάδας αεραθλητών που πραγματοποίησαν πτήση στην ευρύτερη περιοχή Αλυκών Μεσολογγίου, τραυματίσθηκε θανάσιμα μετά από πτώση του.",Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Αλυκες Μεσολογγιου,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,ΑΛΥΚΕΣ ΜΕΣΟΛΟΓΓΙΟΥΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2019,16.7
01/2022,2022-02-17,2017-07-10,ΑΤΥΧΗΜΑ,Tραυματισμός ενός μέλους του πληρώματος εδάφους από την έλικα του νούμερου δύο κινητήρα επιβατικύ αεροπλάνου αερογραμμών,Σοβαρός τραυματισμός,      Πλήρωμα=4                       Επιβάτες=19    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=1,Διεθνης Αερολιμενας Αθηνων (Lgav) Θεση Β62,,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΑΘΗΝΩΝ (LGAV) ΘΕΣΗ Β62Νηολόγιο(α): SX-GRIΑεροπλάνοΜεγάλο,4.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,Αεροπλάνο,2017,9.1
E05/2021,2021-09-24,2019-12-13,ΣΟΒΑΡΟ ΣΥΜΒΑΝ,Εκτροπή αεροπλάνου κατά την τροχοδρόμηση σε τροχόδρομο ταχείας απελευθέρωσης,Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,"Διεθνες Αεροδρομιο Αθηνων (Λγαω) Διαδρομος 21R, Τροχοδρομος Α6",,Αεροπλάνο,Μεγάλο,"ΔΙΕΘΝΕΣ ΑΕΡΟΔΡΟΜΙΟ ΑΘΗΝΩΝ (ΛΓΑΩ) ΔΙΑΔΡΟΜΟΣ 21R, ΤΡΟΧΟΔΡΟΜΟΣ Α6Νηολόγιο(α): SX-BKZΑεροπλάνοΜεγάλο",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2019,5.9
E04/2021,2021-07-26,2020-02-14,ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"Κατά την διάρκεια εκπαιδευτικής πτήσης ΜΟΝΟΣ (SOLO) και κατά την διάρκεια της προσγείωσης στον διάδρομο 32 του Κρατικού Αερολιμένα Κοζάνης, ο μαθητευόμενος χειριστής έχασε τον έλεγχο του αεροσκάφους με αποτέλεσμα να εξέλθει δεξιά εκτός διαδρόμου.",Χωρίς Τραυματισμό,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κρατικος Αερολιμενας Κοζανης Lgkz,SX-KVA,Αεροπλάνο,Πολύ Ελαφρύ,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΚΟΖΑΝΗΣ LGKZΝηολόγιο(α): SX-KVAΑεροπλάνοΠολύ Ελαφρύ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2020,
E03/2021,2021-11-02,2019-01-28,ΣΟΒΑΡΟ ΣΥΜΒΑΝ,Ιδιαίτερα χαμηλή πτήση (256 πόδια από το έδαφος) επιβατικού αεροπλάνου αερογραμμών πριν το κατώφλι διαδρόμμου προσγείωσης στο αεροδρόμιο MUSCAT του ΟΜΑΝ,Χωρίς Τραυματισμό,      Πλήρωμα=6                       Επιβάτες=70    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Διεθνης Αερολιμενας Muscat (Ooms) Στο Ομαν,SX-ODS,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ MUSCAT (OOMS) ΣΤΟ ΟΜΑΝΝηολόγιο(α): SX-ODSΑεροπλάνοΜεγάλο,6.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2019,42.9
